titulo,genero,duracion,tono,anio,calificacion
the parent trap,Adventure,larga,neutral,1998,6.6
a civil action,Drama,media,serio,1998,6.6
gummo,Comedy,corta,divertido,1997,6.6
emma,Comedy,media,divertido,1996,6.6
"to wong foo thanks for everything, julie newmar",Comedy,media,divertido,1995,6.6
french kiss,Comedy,media,divertido,1995,6.6
reality bites,Comedy,media,divertido,1994,6.6
heavyweights,Comedy,media,divertido,1995,6.6
the mosquito coast,Adventure,media,neutral,1986,6.6
footloose,Drama,media,serio,1984,6.6
mr. mom,Comedy,media,divertido,1983,6.6
the hunger,Drama,media,serio,1983,6.6
annie,Comedy,larga,divertido,1982,6.6
victory,Drama,media,serio,1981,6.6
the man who fell to earth,Drama,larga,serio,1976,6.6
silent running,Drama,corta,serio,1972,6.6
torn curtain,Drama,larga,serio,1966,6.6
da 5 bloods,Adventure,larga,neutral,2020,6.5
last christmas,Comedy,media,divertido,2019,6.5
his house,Drama,media,serio,2020,6.5
it chapter two,Drama,larga,serio,2019,6.5
oxygène,Drama,media,serio,2021,6.5
late night,Comedy,media,divertido,2019,6.5
dumplin',Comedy,media,divertido,2018,6.5
all the bright places,Drama,media,serio,2020,6.5
the choice,Drama,media,serio,2016,6.5
gerald's game,Drama,media,serio,2017,6.5
sleeping with other people,Comedy,media,divertido,2015,6.5
magic in the moonlight,Comedy,media,divertido,2014,6.5
the second best exotic marigold hotel,Comedy,larga,divertido,2015,6.5
mowgli,Adventure,media,neutral,2018,6.5
barefoot,Comedy,media,divertido,2014,6.5
don jon,Comedy,media,divertido,2013,6.5
upstream color,Drama,media,serio,2013,6.5
entourage,Comedy,media,divertido,2015,6.5
the art of getting by,Drama,corta,serio,2011,6.5
take this waltz,Comedy,media,divertido,2011,6.5
"jeff, who lives at home",Comedy,corta,divertido,2011,6.5
byzantium,Drama,media,serio,2012,6.5
bridget jones's baby,Comedy,larga,divertido,2016,6.5
last night,Drama,media,serio,2010,6.5
due date,Comedy,media,divertido,2010,6.5
it's complicated,Comedy,larga,divertido,2009,6.5
hereafter,Drama,larga,serio,2010,6.5
morning glory,Comedy,media,divertido,2010,6.5
dog,Comedy,media,divertido,2022,6.5
life as we know it,Comedy,media,divertido,2010,6.5
letters to juliet,Adventure,media,neutral,2010,6.5
antichrist,Drama,media,serio,2009,6.5
youth in revolt,Comedy,media,divertido,2009,6.5
the sisterhood of the traveling pants,Comedy,media,divertido,2005,6.5
casanova,Adventure,media,neutral,2005,6.5
in her shoes,Comedy,larga,divertido,2005,6.5
in good company,Comedy,media,divertido,2004,6.5
mona lisa smile,Drama,media,serio,2003,6.5
changing lanes,Drama,media,serio,2002,6.5
varsity blues,Comedy,media,divertido,1999,6.5
instinct,Drama,larga,serio,1999,6.5
one fine day,Comedy,media,divertido,1996,6.5
the santa clause,Comedy,media,divertido,1994,6.5
nell,Drama,media,serio,1994,6.5
the mighty ducks,Comedy,media,divertido,1992,6.5
atrangi re,Comedy,larga,divertido,2021,6.4
on the rocks,Comedy,media,divertido,2020,6.4
ghost stories,Drama,media,serio,2017,6.4
the ottoman lieutenant,Drama,media,serio,2017,6.4
the space between us,Drama,media,serio,2017,6.4
cake,Drama,media,serio,2014,6.4
il racconto dei racconti - tale of tales,Drama,larga,serio,2015,6.4
love & friendship,Comedy,media,divertido,2016,6.4
black sea,Adventure,media,neutral,2014,6.4
the mountain between us,Drama,media,serio,2017,6.4
a bigger splash,Drama,larga,serio,2015,6.4
laggies,Comedy,media,divertido,2014,6.4
thanks for sharing,Comedy,media,divertido,2012,6.4
step up revolution,Drama,media,serio,2012,6.4
grudge match,Comedy,media,divertido,2013,6.4
our idiot brother,Comedy,media,divertido,2011,6.4
the woman in black,Drama,media,serio,2012,6.4
everything must go,Drama,media,serio,2010,6.4
monsters,Adventure,media,neutral,2010,6.4
stake land,Drama,media,serio,2010,6.4
charlie st. cloud,Drama,media,serio,2010,6.4
the company you keep,Drama,larga,serio,2012,6.4
the joneses,Comedy,media,divertido,2009,6.4
burlesque,Drama,media,serio,2010,6.4
choke,Comedy,media,divertido,2008,6.4
he's just not that into you,Comedy,larga,divertido,2009,6.4
the experiment,Drama,media,serio,2010,6.4
17 again,Comedy,media,divertido,2009,6.4
the giver,Drama,media,serio,2014,6.4
the last kiss,Comedy,media,divertido,2006,6.4
in the land of women,Comedy,media,divertido,2007,6.4
click,Comedy,media,divertido,2006,6.4
melinda and melinda,Comedy,media,divertido,2004,6.4
spanglish,Comedy,larga,divertido,2004,6.4
shortbus,Comedy,media,divertido,2006,6.4
beyond borders,Adventure,larga,neutral,2003,6.4
the good girl,Drama,media,serio,2002,6.4
hard ball,Comedy,media,divertido,2001,6.4
keeping the faith,Comedy,larga,divertido,2000,6.4
along came a spider,Drama,media,serio,2001,6.4
rules of engagement,Drama,larga,serio,2000,6.4
big daddy,Comedy,media,divertido,1999,6.4
tin cup,Comedy,larga,divertido,1996,6.4
phenomenon,Drama,larga,serio,1996,6.4
the craft,Drama,media,serio,1996,6.4
it could happen to you,Comedy,media,divertido,1994,6.4
