titulo,genero,duracion,tono,anio,calificacion
the adventures of baron munchausen,Adventure,larga,neutral,1988,7.1
coming to america,Comedy,media,divertido,1988,7.1
spaceballs,Adventure,media,neutral,1987,7.1
little shop of horrors,Comedy,media,divertido,1986,7.1
better off dead...,Comedy,media,divertido,1985,7.1
the jerk,Comedy,media,divertido,1979,7.1
sleeper,Comedy,corta,divertido,1973,7.1
dance of the vampires,Comedy,media,divertido,1967,7.1
the seven year itch,Comedy,media,divertido,1955,7.1
gentlemen prefer blondes,Comedy,media,divertido,1953,7.1
arif v 216,Comedy,larga,divertido,2018,7.0
the christmas chronicles,Adventure,media,neutral,2018,7.0
qu'est-ce qu'on a fait au bon dieu?,Comedy,media,divertido,2014,7.0
hundraåringen som klev ut genom fönstret och försvann,Adventure,media,neutral,2013,7.0
"i love you, man",Comedy,media,divertido,2009,7.0
bhoot police,Comedy,larga,divertido,2021,7.0
